,charge.t1,charge.t2,charge.t3,charge.t4,charge.t5,charge.t6,charge.t7,charge.t8,charge.rate1,charge.rate2,charge.rate3,charge.rate4,charge.ramp1,charge.ramp2,charge.ramp3,charge.ramp4,charge.ramp5,charge.ramp6,charge.ramp7,charge.ramp8,charge.T0,charge.T1,charge.T2,charge.T3,charge.T4,charge.T5,charge.T6,charge.T7,charge.T_target,charge.iSOC,aging.an_len_expansion,aging.ca_len_expansion,aging.an_void_eps,aging.ca_void_eps,aging.an_i0_factor,aging.ca_i0_factor,aging.el_kappa_factor,aging.an_LiLoss,aging.an_LAM,aging.ca_LAM,aging.SOH
12,52.4050633,105.2658228,260.5158228,395.5158228,499.5158228,503.5158228,703.8636489,822.8201706,7.9,3.2,3.6,2.3,0.1583333,-0.0279352,-0.0010772,0.0011596,-0.0025531,-0.0045387,-0.0017326,-0.0012877,314.15,322.4474684,320.9707924,320.8035549,320.9600945,320.6945762,320.6764214,320.329307,319.2021007,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
13,56.6808511,83.4893617,138.1560284,156.822695,191.022695,233.322695,353.8444342,477.4966081,4.7,5.4,4.0,2.3,0.0833333,0.0910738,0.065,0.0773924,0.0766667,0.0764092,0.0083333,0.0079004,298.15,302.8734043,305.3149585,308.8682919,310.3129493,312.9349493,316.1670564,317.1714042,330.4535653,0.49,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
14,76.754717,152.1509434,203.9009434,360.2759434,449.9085965,558.6432903,711.6432903,751.0182903,5.3,3.2,4.9,3.2,0.1166667,0.1233648,0.0133333,0.0190712,-0.011006,-0.0165014,0.0133333,0.0005972,302.15,311.104717,320.4059553,321.0959553,324.0782084,323.0917132,321.2974428,323.3374428,323.3383212,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
15,56.1176471,211.7647059,216.6295707,342.1430843,372.1430843,408.8097509,524.6358379,590.3749683,3.4,3.7,5.4,2.3,0.06,0.0631818,0.0516667,0.0522724,0.0483333,0.0474599,0.0116667,0.0129256,294.15,297.5170588,307.3511165,307.6024679,314.1633598,315.6133598,317.3535575,318.7048618,327.3414309,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
16,82.8837209,200.9302326,242.7906977,321.4883721,379.255814,498.1395349,577.6395349,636.8895349,4.3,4.3,4.3,4.8,0.0333333,0.0325044,0.0347265,0.0325885,0.0238126,0.0283756,-0.008122,-0.0006073,315.15,317.9127907,321.7498226,323.2034912,325.7681315,327.143725,330.5171225,329.8714224,329.0194375,0.17,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
17,37.6,90.4,190.3,292.0,344.2352941,426.8235294,513.5927602,575.438914,4.5,4.0,5.1,3.9,0.105,0.1005769,0.055,0.0571776,0.045,0.0324833,0.02,0.0291984,285.15,289.098,294.4084601,299.9029601,305.7179192,308.0685075,310.7512472,312.4866318,330.2909727,0.26,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
18,115.902439,213.3658537,291.9658537,370.5658537,376.1043152,528.4120075,571.8602834,666.205111,4.1,6.0,2.6,2.9,0.07,0.0037258,0.0466667,-0.0240958,0.01,0.0106803,0.0116667,-0.0034142,309.15,317.2631707,317.6263046,321.2943046,319.4003721,319.4557568,321.0824417,321.5893383,319.9550674,0.22,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
19,3.0422535,50.7042254,97.4276296,170.1935871,231.9078728,293.6221585,351.2221585,395.8621585,7.1,4.7,5.6,5.0,0.2033333,0.2059885,0.09,0.0921799,0.0883333,-0.0117727,0.0044174,0.0130242,289.15,289.7685915,299.5864094,303.7915158,310.4990713,315.9504998,315.2239538,315.4783981,315.7732325,0.36,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
20,13.787234,81.9574468,120.6847195,159.9574468,203.4574468,233.4574468,380.8860182,442.600304,4.7,6.6,4.8,2.1,0.0716667,0.0600098,0.0566667,0.0309872,0.0716667,0.0490167,0.005,0.0037982,307.15,308.1380851,312.2289661,314.4235116,315.6404648,318.7579648,320.2284653,320.9656081,326.6523809,0.48,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
21,96.9230769,244.6153846,275.2422503,347.2422503,423.4775444,523.0069562,572.1776879,703.0069562,3.9,6.7,5.1,4.1,0.02,0.0189617,0.23,0.2680894,-0.0069808,-0.0149844,-0.0049129,-3.05e-05,301.15,303.0884615,305.8889657,312.9331448,332.2355816,331.7033959,330.2120053,329.9704343,324.8859008,0.04,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
22,2.8125,45.5625,92.6394231,142.4855769,182.4855769,255.2855769,310.4345131,387.7962152,6.4,3.9,4.5,4.7,0.0533333,0.0568896,0.0483333,0.0511308,0.0266667,0.0312141,0.0283333,-0.0040783,303.15,303.3,305.7320306,308.0074152,310.556088,311.6227546,313.8951388,315.457692,314.5721818,0.45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
23,27.7894737,94.1052632,134.2791762,149.409611,160.4865341,339.5634571,458.2661598,619.7796734,5.7,6.9,3.9,3.7,0.17,0.1874236,0.0616667,0.0664342,0.02,0.0209323,0.0283333,0.0318793,295.15,299.8742105,312.3033513,314.7807426,315.7859206,316.007459,319.7559585,323.1192017,326.0999076,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
24,37.7560976,141.3658537,145.9476718,208.7840355,251.8275137,349.6536007,366.1941412,462.5184656,4.1,5.5,4.6,3.7,0.0833333,0.0889497,0.105,0.1056077,0.0833333,0.083184,0.0183333,0.0160526,287.15,290.2963415,299.5123987,299.9934896,306.6294911,310.2164476,318.3540165,318.6572597,332.772458,0.39,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
25,20.7272727,154.9090909,220.3636364,312.0,470.4,607.2,783.9272727,983.5636364,3.3,4.4,3.0,2.2,0.015,0.0085212,0.025,0.0291272,0.0116667,0.0143981,0.0066667,-0.0004781,317.15,317.4609091,318.6043001,320.2406638,322.9097742,324.7577742,326.7274345,327.9056163,326.3197185,0.14,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
26,143.0769231,207.6923077,334.7511312,538.0452489,595.4202489,693.2952489,751.530543,857.4128959,3.9,3.4,3.2,3.4,0.045,0.0521924,0.0216667,0.0157313,0.0012537,-0.0024962,0.0283333,-0.0008188,294.15,300.5884615,303.9608958,306.713837,309.9119271,309.9838579,309.7395429,311.3895429,310.28108,0.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
27,37.6744186,44.372093,93.7435216,241.8578073,305.4578073,330.6578073,383.1578073,477.6578073,4.3,3.5,6.0,2.4,0.0233333,0.0206863,0.0166667,0.0120785,0.0466667,0.0104255,0.0066667,0.003048,315.15,316.0290698,316.16762,316.9904771,318.7794715,321.7474715,322.0101948,322.3601948,322.6962363,0.46,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
28,23.3684211,63.7894737,93.9830221,108.4991511,199.9391511,292.0991511,499.0991511,692.5991511,5.7,6.2,5.0,2.4,0.15,0.1698742,0.2,0.0166033,-0.0075081,-0.0099666,0.0010013,0.0018116,294.15,297.6552632,304.5217562,310.5604659,310.801481,310.1149395,309.1964151,309.4036806,310.6045606,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
29,32.25,48.0,202.5882353,291.5294118,533.7112299,756.2566845,808.0966845,1048.5766845,4.8,3.4,2.2,2.5,0.1,0.0923246,0.06,0.0584982,0.0005173,0.0008135,0.0116667,0.0142377,284.15,287.375,288.8291131,298.1044073,303.3073059,303.4325792,303.6136261,304.2184261,306.072477,0.17,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
30,96.0,140.8695652,319.9221968,355.9221968,419.4131059,499.2676513,575.9633035,787.2676513,6.9,3.8,5.5,2.3,0.0616667,-0.0143006,0.0059053,-0.0022918,-0.0080341,0.0054758,0.0066667,0.0056113,313.15,319.07,318.4283383,319.4856959,319.4031903,318.8930969,319.330366,319.8416703,318.4537278,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
31,57.7241379,93.1034483,167.7121439,185.9730135,360.6396802,521.9730135,719.1158706,883.6872992,5.8,6.9,2.7,2.1,0.0716667,0.0638236,0.0083344,0.003211,0.0316667,0.0297043,-0.0002173,0.000871,299.15,303.2868966,305.5449329,306.1667526,306.2253876,311.7564988,316.5487967,316.5059651,315.3706429,0.16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
32,79.2,104.4,203.8285714,238.1142857,319.4246305,357.2866995,561.7666995,704.3266995,7.0,6.3,5.8,2.5,0.2216667,0.0142393,0.0147824,0.0078138,0.0148564,0.0170278,0.0004244,0.0006095,294.15,311.706,312.0648307,313.5346206,313.8025218,315.0104993,315.6552055,315.7419908,316.0372723,0.08,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
33,74.25,146.8125,192.7435345,250.4676724,345.6105296,357.1819581,391.8962438,651.6105296,6.4,5.8,2.8,2.8,0.21,-0.0132744,-0.0180992,-0.0018977,-0.0028301,-0.0010152,-0.0001351,-0.0005192,307.15,322.7425,321.7792781,320.9479611,320.838416,320.5691539,320.5574064,320.5527168,318.1071942,0.21,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
34,39.5492958,59.8309859,99.5368683,165.1839271,310.4696414,386.3267842,398.9267842,407.9267842,7.1,6.8,2.8,2.0,0.255,0.0075844,0.0013677,0.0020551,0.0183333,0.0131231,0.005,0.005237,289.15,299.2350704,299.3888943,299.4432015,299.5781122,302.2416836,303.2371649,303.3001649,306.8765605,0.45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
35,81.2307692,131.0769231,178.6240929,192.2089985,267.9589985,271.7089985,536.3089985,813.5089985,3.9,5.3,4.8,2.0,0.0483333,0.044112,0.0683333,0.0608153,0.03,0.0158797,0.005,0.0023069,308.15,312.0761538,314.2749654,317.524022,318.3501918,320.6226918,320.6822407,322.0052407,322.913824,0.31,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
36,6.6461538,77.5384615,152.477237,200.2323391,283.9532693,303.2090833,342.8090833,376.4090833,6.5,4.9,4.3,3.0,0.0933333,0.1060482,0.0866667,-0.0100072,0.004825,0.002186,0.0283333,-0.0006931,293.15,293.7703077,301.2883119,307.7830058,307.3051095,307.7090633,307.7511563,308.8731563,307.5122343,0.46,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
37,68.64,73.92,135.6342857,167.0628571,191.92,239.0628571,290.3628571,301.1628571,7.5,6.3,4.2,4.0,0.1733333,0.0005681,0.0022598,0.0301737,0.0233333,0.0232369,-0.0187834,-0.0131663,316.15,328.0476,328.0505998,328.1900629,329.1383793,329.7183793,330.8138352,329.8502491,328.5630157,0.48,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
38,59.5384615,121.8461538,146.5961538,221.9711538,234.7453474,419.3905087,596.9077501,837.7353363,7.8,3.2,3.1,2.9,0.2283333,0.0046385,0.0533333,0.0506596,0.04,0.0428256,-0.0003334,-0.0013199,292.15,305.7446154,306.0336273,307.3536273,311.1720927,311.6830605,319.5906074,319.5314296,311.528184,0.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
39,23.625,152.4375,327.5284091,372.5284091,514.0456505,538.8732367,674.9982367,759.3732367,6.4,4.4,2.9,3.2,0.0533333,0.0375134,0.0075345,0.009688,0.0316667,0.0355281,0.0006736,-0.003351,301.15,302.41,307.2421911,308.56141,308.9973717,313.478751,314.3608284,314.4525225,317.1936651,0.08,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
40,153.4736842,169.5789474,263.3971292,430.3062201,555.1062201,649.5062201,724.9900911,751.6997685,3.8,3.3,4.5,3.1,0.0716667,0.0686069,0.0333333,0.033912,0.0266667,0.0244362,0.015,0.0201119,286.15,297.1489474,298.25388,301.3811527,307.0413753,310.3693753,312.6761556,313.8084137,315.8775983,0.17,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
41,111.1304348,195.6521739,210.0521739,229.8521739,303.8521739,344.5188406,387.3296514,481.7080298,4.6,4.0,5.4,3.7,0.04,0.0100931,0.0533333,0.0491244,-0.0017078,0.0056207,0.0216667,-0.0033965,300.15,304.5952174,305.4483001,306.2163001,307.1889637,307.0625886,307.2911623,308.2187298,306.719256,0.35,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
42,156.375,338.625,368.9107143,422.0535714,433.2259852,528.8121921,733.8556704,1007.7687139,3.2,6.3,2.9,2.3,0.035,0.0355846,0.155,0.142838,0.0116667,0.0112483,6.99e-05,0.0008514,302.15,307.623125,314.1084134,318.8026991,326.3935173,326.5238621,327.5990435,327.6133782,328.5579029,0.11,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
43,18.9473684,160.1052632,239.3052632,322.3821862,475.138943,515.0308349,660.7869324,717.8601032,3.8,6.5,3.7,4.1,0.075,0.0748099,0.055,-0.000161,-0.0070522,-0.0122082,0.0091904,-0.0043446,315.15,316.5710526,327.1310563,331.4870563,331.473679,330.3964131,329.9094049,331.2489677,330.9883499,0.06,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
44,5.6103896,30.3896104,80.7896104,149.9096104,159.1667532,258.9381818,370.1146524,452.7028877,7.7,5.0,3.5,3.4,0.0766667,0.1291894,0.0333333,0.0338696,0.0166667,-0.0050353,-0.0043987,-0.0018882,317.15,317.5801299,320.7813422,322.4613422,324.8024096,324.9566954,324.454316,323.9652788,323.0665974,0.43,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
45,28.0677966,121.4237288,144.2808717,229.9951574,264.42994,343.4734183,410.8776736,439.9840566,5.9,6.3,4.6,4.7,0.0966667,0.1019998,-0.0080355,0.0012212,-0.004277,-0.0088679,-0.0060677,-0.0014439,308.15,310.8632203,320.385504,320.2018357,320.306508,320.1592317,319.4582812,319.0492943,318.7266617,0.29,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
46,83.8356164,89.7534247,220.7189419,292.0982522,428.7649189,432.0982522,522.5597907,562.2520984,7.3,5.8,5.4,3.9,0.0916667,0.0133747,0.0433333,-0.0004475,-0.0016496,-0.0065528,-0.0010045,0.0026061,314.15,321.8349315,321.9140802,327.5892526,327.5573108,327.3318604,327.3100178,327.2191509,326.6292252,0.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
47,50.5074627,132.7164179,181.7164179,254.7164179,431.3414179,552.8414179,578.389805,734.0027082,6.7,3.6,3.2,3.1,0.1433333,0.1267602,0.0166667,0.0251067,-0.0062968,-0.0087622,0.0133333,0.0142284,303.15,310.389403,320.8102281,321.6268948,323.4596851,322.3475096,321.2828968,321.6235419,322.1217981,0.16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
48,38.7272727,87.8181818,112.2052786,171.431085,231.431085,326.5739422,457.9739422,497.5739422,6.6,3.1,4.2,2.0,0.0566667,0.0525134,0.04,0.0450455,0.0233333,0.0208585,0.005,0.0036029,313.15,315.3445455,317.9224743,318.8979582,321.5658159,322.9658159,324.950355,325.607355,326.0279886,0.44,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
49,61.8,177.6,214.572973,310.8972973,551.8203742,659.8203742,788.589605,999.0511435,6.0,3.7,2.6,2.6,0.1333333,0.1079116,0.03,0.0243181,0.0083333,0.0068789,0.0106448,0.0105327,294.15,302.39,314.8861655,315.9953547,318.3377751,320.3454674,321.0883869,322.4591159,331.1480392,0.02,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
50,105.2307692,121.8461538,140.2291326,227.5482815,294.8114394,411.3377552,563.5195734,622.4286643,6.5,4.7,3.8,2.2,0.055,0.0117883,0.0483333,0.0389312,-0.0047295,-0.0090146,0.0066667,-0.0003452,316.15,321.9376923,322.1335599,323.0220705,326.4215078,326.103387,325.0529473,326.0674928,324.2314235,0.27,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
51,52.3636364,179.1818182,226.3246753,254.6103896,264.1398014,318.1398014,333.4125286,430.5034377,4.4,4.2,3.4,3.3,0.09,0.0900418,0.0416667,0.039815,0.0333333,0.0329573,0.015,0.0153878,303.15,307.8627273,319.2816615,321.2459472,322.3721431,322.6897902,324.4694853,324.6985762,324.8954495,0.48,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
52,57.9375,91.6875,125.4721154,158.1490385,300.9877481,469.3748449,608.2319878,711.0891306,6.4,6.5,3.1,2.8,0.175,-0.010789,-0.0029563,-0.0131027,-0.0031858,-0.0009638,-0.0009876,-0.0037541,299.15,309.2890625,308.9249341,308.8250574,308.3969009,307.9418477,307.7795494,307.6424087,306.0431384,0.21,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
53,199.7419355,282.1935484,345.8858561,464.9627792,505.808933,534.1935484,661.0117302,684.7390029,3.1,5.2,5.2,4.4,0.0133333,0.0088314,0.035,0.0206914,0.0086214,-0.0047642,0.025,0.0223927,311.15,313.8132258,314.5413854,316.7706161,319.2344875,319.5866398,319.4514093,322.6218639,329.2931702,0.16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
54,45.5510204,88.8979592,173.5466078,188.1412024,243.0885708,341.6148866,360.0764251,514.2302713,4.9,3.7,3.8,3.9,0.1233333,0.1164225,0.0183333,0.0217188,0.0183333,0.0154409,0.0283333,0.0252017,295.15,300.7679592,305.8145191,307.366411,307.6833882,308.6907566,310.2120867,310.7351637,319.9006612,0.38,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
55,43.5789474,89.5263158,179.5263158,216.8596491,220.0175439,303.3859649,418.7705803,545.2321188,7.6,5.4,5.7,3.9,0.2183333,0.2457735,0.0566667,0.0608286,0.11,0.0788447,-0.0015211,-0.0010194,286.15,295.6647368,306.9573827,312.0573827,314.3283168,314.6756852,321.2488438,321.0733312,318.4685037,0.17,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
56,84.0,115.3846154,235.7596154,294.2596154,312.67822,329.4224061,378.9224061,542.0474061,7.8,3.2,4.3,3.2,0.2,0.0099613,0.0333333,0.0288666,0.065,0.0740726,0.0133333,0.0062201,300.15,316.95,317.2626322,321.2751322,322.9638292,324.1610385,325.4013238,326.0613238,324.9749547,0.31,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
57,37.6363636,157.9090909,276.5454545,361.6363636,414.0,444.1090909,625.3948052,831.1090909,4.4,4.4,5.5,2.8,0.09,0.0927424,-0.0064168,-0.0070069,-0.0158958,-0.0085738,-0.0006335,-0.0009968,303.15,306.5372727,317.6916507,316.9303798,316.3341521,315.5017909,315.2436425,315.1288049,311.8729428,0.08,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
58,115.875,129.375,139.4215116,240.7238372,376.0838372,548.8838372,672.5360111,686.6229676,3.2,4.3,2.5,2.3,0.0533333,0.0548109,0.07,0.0775294,0.0183333,0.0151983,0.0083333,0.0067372,292.15,298.33,299.0699474,299.7732032,307.6271078,310.1087078,312.7349727,313.7654075,322.866339,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
59,15.0967742,47.6129032,62.1513648,120.3052109,198.5359801,213.0744417,317.0744417,405.0744417,3.1,5.2,5.2,4.5,0.0133333,0.0117585,0.035,0.0542179,0.0645843,-0.0222329,-0.0045956,-0.0108577,318.15,318.3512903,318.7336313,319.2424775,322.3954575,327.4479361,327.1247034,326.6467604,324.7049549,0.43,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
60,50.4,78.6857143,121.8857143,181.6457143,282.0667669,370.1720301,387.6577444,509.0291729,7.0,5.0,3.8,3.5,0.1916667,0.2154196,0.0333333,0.0385475,0.0316667,-0.0113397,0.0166667,0.0285176,306.15,315.81,321.9032977,323.3432977,325.6468949,328.8268949,327.8278069,328.1192355,327.0425936,0.32,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
61,70.0363636,134.1818182,150.3197492,281.9059561,293.9059561,325.4059561,477.7136484,573.7136484,5.5,5.8,4.8,3.9,0.0533333,0.0496386,0.1116667,0.1331017,-0.0014724,-0.0008787,-0.0045039,-0.0068161,295.15,298.8852727,302.0693626,303.8714316,321.3857826,321.3681141,321.3404342,320.6544603,317.9360583,0.18,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
62,20.8421053,65.6842105,159.145749,201.3765182,213.8982573,312.506953,378.6464879,443.9488135,5.7,5.2,4.6,4.3,0.065,0.0793252,0.006092,0.0144546,0.0283333,0.0215839,0.0233333,-0.0157634,305.15,306.5047368,310.0618479,310.6312146,311.2416423,311.596425,313.7247852,315.268041,314.2508619,0.35,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
63,104.0,166.8571429,226.1904762,348.8571429,395.7857143,442.7142857,470.7142857,630.7142857,6.3,5.4,5.6,3.6,0.07,0.0621899,0.0383333,0.0468302,-0.0047814,-0.0235069,-0.0014301,-0.0034788,308.15,315.43,319.3390768,321.6135213,327.3580308,327.1336474,326.0305035,325.9904609,322.7962942,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
